 Average Loss = 0.1692, Train acc = 0.9365
 Average Loss = 0.1648, Train acc = 0.9385
 Average Loss = 0.1776, Train acc = 0.9357
 Average Loss = 0.1656, Train acc = 0.9401
 Average Loss = 0.1631, Train acc = 0.9402
 Average Loss = 0.1697, Train acc = 0.9387
 Average Loss = 0.1585, Train acc = 0.9436
 Average Loss = 0.1546, Train acc = 0.9429
 Average Loss = 0.1717, Train acc = 0.9340
 Average Loss = 0.1663, Train acc = 0.9370
 Average Loss = 0.1569, Train acc = 0.9414
 Average Loss = 0.1717, Train acc = 0.9359
 Average Loss = 0.1620, Train acc = 0.9416
 Average Loss = 0.1562, Train acc = 0.9433
 Average Loss = 0.1729, Train acc = 0.9364
 Average Loss = 0.1643, Train acc = 0.9419
 Average Loss = 0.1593, Train acc = 0.9430
