 Average Loss = 0.0185, Train acc = 0.9964
 Average Loss = 0.0138, Train acc = 0.9979
 Average Loss = 0.0254, Train acc = 0.9946
 Average Loss = 0.0176, Train acc = 0.9964
 Average Loss = 0.0133, Train acc = 0.9973
 Average Loss = 0.0262, Train acc = 0.9945
 Average Loss = 0.0174, Train acc = 0.9968
 Average Loss = 0.0129, Train acc = 0.9973
 Average Loss = 0.0253, Train acc = 0.9943
 Average Loss = 0.0164, Train acc = 0.9967
 Average Loss = 0.0110, Train acc = 0.9982
 Average Loss = 0.0263, Train acc = 0.9944
 Average Loss = 0.0183, Train acc = 0.9967
 Average Loss = 0.0136, Train acc = 0.9976
 Average Loss = 0.0261, Train acc = 0.9943
 Average Loss = 0.0177, Train acc = 0.9968
 Average Loss = 0.0131, Train acc = 0.9978
